Generation,Best Candidate,Global Best Candidate,Worst Candidate,Best Time,Worst Time,Global Best Time,Average Time
0,"['-fvect-cost-model=dynamic', '-floop-unroll-and-jam', '-fsplit-loops', '-fversion-loops-for-strides', '-fsplit-paths']","['-fvect-cost-model=dynamic', '-floop-unroll-and-jam', '-fsplit-loops', '-fversion-loops-for-strides', '-fsplit-paths']","['-fgcse-after-reload', '-fipa-cp-clone', '-ftree-partial-pre', '-fpredictive-commoning', '-floop-unroll-and-jam']",-89589.44,123034.28,-89589.44,2485.2560000000003
1,"['-floop-interchange', '-fvect-cost-model=dynamic', '-funswitch-loops', '-fipa-cp-clone']","['-floop-interchange', '-fvect-cost-model=dynamic', '-funswitch-loops', '-fipa-cp-clone']","['-fsplit-paths', '-floop-interchange', '-fpredictive-commoning', '-fipa-cp-clone']",-94026.2,128166.0,-94026.2,-2645.957333333333
2,"['-fsplit-paths', '-fsplit-loops']","['-fsplit-paths', '-fsplit-loops']","['-funswitch-loops', '-fpredictive-commoning', '-fgcse-after-reload', '-fversion-loops-for-strides']",-112064.72,241157.92,-112064.72,8105.804
3,"['-funswitch-loops', '-floop-unroll-and-jam', '-fpeel-loops', '-fvect-cost-model=dynamic']","['-funswitch-loops', '-floop-unroll-and-jam', '-fpeel-loops', '-fvect-cost-model=dynamic']",['-floop-interchange'],-178692.68,165569.6,-178692.68,-12489.973333333332
4,"['-fipa-cp-clone', '-fpredictive-commoning']","['-funswitch-loops', '-floop-unroll-and-jam', '-fpeel-loops', '-fvect-cost-model=dynamic']","['-fsplit-loops', '-fpredictive-commoning', '-floop-interchange']",-104604.0,143721.2,-178692.68,11903.782666666666
5,"['-floop-interchange', '-fversion-loops-for-strides', '-fpeel-loops']","['-funswitch-loops', '-floop-unroll-and-jam', '-fpeel-loops', '-fvect-cost-model=dynamic']","['-fgcse-after-reload', '-fsplit-paths']",-65865.04,150913.48,-178692.68,12065.441333333332
6,"['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']","['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']","['-fipa-cp-clone', '-ftree-loop-distribution', '-floop-interchange', '-floop-unroll-and-jam']",-184555.32,95661.76,-184555.32,-15242.998666666668
7,['-ftree-loop-distribution'],"['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']",['-fversion-loops-for-strides'],-150010.36,68861.0,-184555.32,-11256.568
8,"['-ftree-loop-distribution', '-fgcse-after-reload']","['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']","['-floop-interchange', '-funswitch-loops', '-fversion-loops-for-strides', '-ftree-loop-distribution']",-109816.16,82344.48,-184555.32,5722.652
9,['-fpeel-loops'],"['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']",['-fipa-cp-clone'],-109173.44,59263.36,-184555.32,-18639.625333333333
10,"['-fpeel-loops', '-floop-interchange']","['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']","['-fsplit-loops', '-fpredictive-commoning']",-92820.08,78348.16,-184555.32,1459.332
11,['-fvect-cost-model=dynamic'],"['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']","['-fsplit-paths', '-fgcse-after-reload']",-85125.12,73065.2,-184555.32,-963.0253333333333
12,['-fipa-cp-clone'],"['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']","['-fipa-cp-clone', '-floop-interchange']",-104582.92,118482.72,-184555.32,-3485.5986666666668
13,"['-fpeel-loops', '-fsplit-paths']","['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']",['-ftree-partial-pre'],-183487.24,90950.76,-184555.32,-4912.702666666666
14,['-floop-unroll-and-jam'],"['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']",['-fpeel-loops'],-149075.2,87764.4,-184555.32,1518.1693333333326
15,"['-fpredictive-commoning', '-floop-unroll-and-jam']","['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']","['-fvect-cost-model=dynamic', '-fsplit-paths']",-114435.44,118740.56,-184555.32,-5713.124
16,['-fsplit-paths'],"['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']","['-ftree-partial-pre', '-floop-unroll-and-jam']",-108279.72,74253.48,-184555.32,-5185.214666666667
17,['-fversion-loops-for-strides'],"['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']",['-funswitch-loops'],-92335.88,86071.92,-184555.32,3105.2159999999994
18,"['-ftree-loop-distribution', '-fversion-loops-for-strides']","['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']","['-fipa-cp-clone', '-fversion-loops-for-strides']",-144843.68,117143.68,-184555.32,-5985.452
19,"['-floop-interchange', '-fipa-cp-clone']","['-floop-interchange', '-ftree-loop-distribution', '-funswitch-loops']",['-fgcse-after-reload'],-115939.12,144939.72,-184555.32,-16953.336
