Generation,Best Candidate,Global Best Candidate,Worst Candidate,Best Time,Worst Time,Global Best Time,Average Time
0,"['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-fversion-loops-for-strides', '-fpeel-loops', '-floop-interchange', '-funswitch-loops', '-fvect-cost-model=dynamic']",-179915.96,82451.6,-179915.96,-9971.662666666665
1,"['-fsplit-loops', '-fsplit-paths', '-fvect-cost-model=dynamic', '-floop-unroll-and-jam']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-fpeel-loops', '-floop-unroll-and-jam', '-funswitch-loops', '-fsplit-paths']",-175421.84,104851.36,-179915.96,-9508.137333333334
2,"['-fversion-loops-for-strides', '-fpredictive-commoning', '-fpeel-loops', '-fsplit-paths']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-funswitch-loops', '-fpredictive-commoning', '-fipa-cp-clone', '-fvect-cost-model=dynamic']",-95444.24,189422.36,-179915.96,2314.6599999999994
3,"['-fpeel-loops', '-funswitch-loops']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-fvect-cost-model=dynamic', '-fpeel-loops']",-65668.04,120552.4,-179915.96,7245.973333333333
4,['-fversion-loops-for-strides'],"['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-fpeel-loops', '-fgcse-after-reload']",-127618.84,118688.52,-179915.96,-12092.494666666667
5,['-ftree-loop-distribution'],"['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']",['-floop-unroll-and-jam'],-165709.76,88920.72,-179915.96,10620.390666666666
6,"['-ftree-loop-distribution', '-ftree-partial-pre']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-ftree-loop-distribution', '-fsplit-paths', '-fpeel-loops']",-164364.2,124012.76,-179915.96,-17068.678666666667
7,"['-fvect-cost-model=dynamic', '-ftree-loop-distribution', '-floop-unroll-and-jam']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-fvect-cost-model=dynamic', '-fpeel-loops', '-fpredictive-commoning', '-fgcse-after-reload']",-121544.0,87177.96,-179915.96,3400.6400000000003
8,['-ftree-partial-pre'],"['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-fpeel-loops', '-funswitch-loops']",-90652.16,144649.64,-179915.96,6621.244000000001
9,"['-ftree-partial-pre', '-floop-unroll-and-jam']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-fsplit-loops', '-ftree-loop-distribution']",-97333.68,99853.12,-179915.96,-6309.223999999999
10,['-ftree-partial-pre'],"['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-ftree-loop-distribution', '-fvect-cost-model=dynamic', '-fpredictive-commoning']",-118685.88,111657.0,-179915.96,-4062.168
11,"['-fvect-cost-model=dynamic', '-fsplit-loops']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']",['-fpredictive-commoning'],-117396.24,139773.24,-179915.96,6858.234666666667
12,['-ftree-loop-distribution'],"['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-funswitch-loops', '-fsplit-paths']",-90364.16,132869.04,-179915.96,11923.537333333334
13,['-ftree-partial-pre'],"['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']",['-ftree-loop-distribution'],-119588.28,194971.56,-179915.96,18053.685333333335
14,['-fgcse-after-reload'],"['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']",['-ftree-partial-pre'],-80630.04,140397.32,-179915.96,-1966.3253333333325
15,"['-fversion-loops-for-strides', '-floop-interchange']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']",['-floop-unroll-and-jam'],-102225.48,133109.08,-179915.96,16340.527999999998
16,"['-fvect-cost-model=dynamic', '-fpredictive-commoning']","['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-paths', '-fpredictive-commoning']","['-fsplit-loops', '-fgcse-after-reload']",-99093.4,129508.32,-179915.96,109.92800000000015
