Generation,Best Candidate,Global Best Candidate,Worst Candidate,Best Time,Worst Time,Global Best Time,Average Time
0,"['-fgcse-after-reload', '-fpeel-loops', '-funswitch-loops', '-floop-unroll-and-jam', '-fipa-cp-clone']","['-fgcse-after-reload', '-fpeel-loops', '-funswitch-loops', '-floop-unroll-and-jam', '-fipa-cp-clone']","['-fvect-cost-model=dynamic', '-fpeel-loops', '-floop-unroll-and-jam', '-fgcse-after-reload', '-fsplit-loops']",-561490.0,491778.88,-561490.0,45908.08133333333
1,"['-fgcse-after-reload', '-fversion-loops-for-strides', '-floop-interchange']","['-fgcse-after-reload', '-fpeel-loops', '-funswitch-loops', '-floop-unroll-and-jam', '-fipa-cp-clone']","['-fversion-loops-for-strides', '-floop-unroll-and-jam', '-funswitch-loops']",-368543.2,706273.68,-561490.0,42715.38666666667
2,"['-fversion-loops-for-strides', '-funswitch-loops', '-fvect-cost-model=dynamic']","['-fversion-loops-for-strides', '-funswitch-loops', '-fvect-cost-model=dynamic']","['-ftree-partial-pre', '-fpeel-loops', '-ftree-loop-distribution', '-floop-interchange']",-928252.64,529094.8,-928252.64,10112.482666666669
3,"['-fpredictive-commoning', '-floop-unroll-and-jam']","['-fversion-loops-for-strides', '-funswitch-loops', '-fvect-cost-model=dynamic']","['-fpredictive-commoning', '-fversion-loops-for-strides', '-fgcse-after-reload']",-515882.32,481207.76,-928252.64,-84619.128
4,"['-fipa-cp-clone', '-fpredictive-commoning', '-fvect-cost-model=dynamic']","['-fversion-loops-for-strides', '-funswitch-loops', '-fvect-cost-model=dynamic']","['-fgcse-after-reload', '-floop-interchange', '-fipa-cp-clone']",-459016.52,538516.88,-928252.64,50623.30266666667
5,"['-ftree-loop-distribution', '-fversion-loops-for-strides', '-fipa-cp-clone']","['-fversion-loops-for-strides', '-funswitch-loops', '-fvect-cost-model=dynamic']","['-ftree-partial-pre', '-fsplit-paths', '-fversion-loops-for-strides', '-floop-interchange']",-638592.8,712765.16,-928252.64,-55228.385333333325
6,"['-fpeel-loops', '-floop-interchange', '-floop-unroll-and-jam', '-fgcse-after-reload']","['-fversion-loops-for-strides', '-funswitch-loops', '-fvect-cost-model=dynamic']",['-funswitch-loops'],-497538.04,654071.84,-928252.64,22127.442666666662
7,"['-ftree-partial-pre', '-fversion-loops-for-strides', '-floop-interchange', '-fsplit-loops']","['-fversion-loops-for-strides', '-funswitch-loops', '-fvect-cost-model=dynamic']","['-fpeel-loops', '-ftree-partial-pre']",-492260.36,744570.6,-928252.64,55758.83066666666
8,"['-funswitch-loops', '-ftree-partial-pre']","['-funswitch-loops', '-ftree-partial-pre']","['-fipa-cp-clone', '-fgcse-after-reload']",-1004225.32,500830.0,-1004225.32,-81090.98933333335
9,"['-fpeel-loops', '-floop-interchange', '-ftree-partial-pre']","['-funswitch-loops', '-ftree-partial-pre']","['-fipa-cp-clone', '-fsplit-loops', '-fversion-loops-for-strides', '-ftree-partial-pre']",-334907.28,299306.04,-1004225.32,-72809.65066666667
10,"['-fipa-cp-clone', '-fsplit-paths']","['-funswitch-loops', '-ftree-partial-pre']","['-fsplit-loops', '-ftree-partial-pre', '-floop-interchange', '-fipa-cp-clone']",-835518.44,402617.36,-1004225.32,-66046.26666666666
11,"['-fpeel-loops', '-fsplit-loops', '-ftree-loop-distribution']","['-funswitch-loops', '-ftree-partial-pre']",['-fsplit-paths'],-364348.92,498594.52,-1004225.32,81839.84933333333
12,"['-fipa-cp-clone', '-floop-interchange']","['-funswitch-loops', '-ftree-partial-pre']",['-fpredictive-commoning'],-627305.92,464554.12,-1004225.32,41435.60533333333
13,"['-ftree-partial-pre', '-fsplit-paths', '-fipa-cp-clone']","['-funswitch-loops', '-ftree-partial-pre']",['-ftree-partial-pre'],-750430.12,511283.88,-1004225.32,-27716.83466666667
14,['-fsplit-loops'],"['-funswitch-loops', '-ftree-partial-pre']","['-fsplit-paths', '-ftree-loop-distribution']",-783248.8,380088.96,-1004225.32,-32116.27466666667
15,['-funswitch-loops'],"['-funswitch-loops', '-ftree-partial-pre']",['-fsplit-paths'],-626663.32,733745.28,-1004225.32,-22725.808
16,['-fipa-cp-clone'],"['-funswitch-loops', '-ftree-partial-pre']","['-fgcse-after-reload', '-floop-unroll-and-jam']",-910441.32,603253.72,-1004225.32,-4262.822666666665
17,['-fipa-cp-clone'],"['-funswitch-loops', '-ftree-partial-pre']",['-fversion-loops-for-strides'],-719974.28,586003.76,-1004225.32,-35921.02266666667
18,['-fsplit-paths'],"['-funswitch-loops', '-ftree-partial-pre']",['-ftree-loop-distribution'],-586836.96,692786.8,-1004225.32,5312.784000000001
19,['-funswitch-loops'],"['-funswitch-loops', '-ftree-partial-pre']",['-ftree-loop-distribution'],-511168.84,727693.12,-1004225.32,3781.0573333333346
