Generation,Best Candidate,Global Best Candidate,Worst Candidate,Best Time,Worst Time,Global Best Time,Average Time
0,"['-fpeel-loops', '-fvect-cost-model=dynamic', '-ftree-loop-distribution', '-floop-unroll-and-jam', '-fversion-loops-for-strides']","['-fpeel-loops', '-fvect-cost-model=dynamic', '-ftree-loop-distribution', '-floop-unroll-and-jam', '-fversion-loops-for-strides']","['-fversion-loops-for-strides', '-fpeel-loops', '-fipa-cp-clone', '-fpredictive-commoning', '-ftree-loop-distribution']",-154661.56,129678.28,-154661.56,9764.014666666666
1,"['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-floop-interchange', '-fversion-loops-for-strides', '-fgcse-after-reload']",-268300.96,69599.96,-268300.96,-21333.22266666667
2,"['-ftree-partial-pre', '-fgcse-after-reload', '-funswitch-loops', '-ftree-loop-distribution']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-floop-unroll-and-jam', '-fipa-cp-clone', '-ftree-partial-pre', '-fsplit-loops']",-100911.16,133217.04,-268300.96,-1322.2693333333336
3,"['-funswitch-loops', '-ftree-loop-distribution', '-fsplit-paths']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']",['-fvect-cost-model=dynamic'],-112539.08,79893.32,-268300.96,-12.557333333333107
4,"['-fpeel-loops', '-fsplit-paths', '-fvect-cost-model=dynamic', '-fpredictive-commoning']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-fsplit-paths', '-floop-interchange', '-fpredictive-commoning', '-ftree-partial-pre']",-248762.64,120389.48,-268300.96,2642.9253333333327
5,"['-fpeel-loops', '-fvect-cost-model=dynamic', '-fsplit-loops', '-funswitch-loops']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']",['-fpeel-loops'],-84344.32,88038.04,-268300.96,-1254.8720000000003
6,"['-floop-unroll-and-jam', '-funswitch-loops', '-fpredictive-commoning', '-fvect-cost-model=dynamic']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']",['-fversion-loops-for-strides'],-115027.12,85948.24,-268300.96,-17924.425333333333
7,"['-fversion-loops-for-strides', '-fpeel-loops']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-floop-unroll-and-jam', '-fsplit-loops', '-funswitch-loops', '-fpredictive-commoning']",-79048.12,79339.92,-268300.96,-3473.922666666667
8,['-fsplit-paths'],"['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-fgcse-after-reload', '-funswitch-loops', '-fversion-loops-for-strides']",-71188.6,131438.12,-268300.96,5611.856
9,"['-funswitch-loops', '-fsplit-loops', '-fipa-cp-clone', '-floop-interchange']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-funswitch-loops', '-floop-interchange']",-128685.16,118042.04,-268300.96,-533.7026666666668
10,['-floop-interchange'],"['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-fsplit-paths', '-fsplit-loops']",-123546.04,82817.76,-268300.96,-7779.476
11,['-funswitch-loops'],"['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-fversion-loops-for-strides', '-fsplit-paths', '-funswitch-loops']",-144412.16,96700.68,-268300.96,-12825.904000000002
12,['-ftree-partial-pre'],"['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']",['-fsplit-loops'],-80246.28,204740.92,-268300.96,13001.826666666668
13,"['-fvect-cost-model=dynamic', '-fsplit-paths']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-fsplit-loops', '-ftree-loop-distribution']",-130493.68,143673.88,-268300.96,-8992.265333333333
14,['-floop-interchange'],"['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-fpeel-loops', '-fversion-loops-for-strides']",-248318.64,90560.12,-268300.96,-16156.068000000001
15,['-fsplit-paths'],"['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']",['-funswitch-loops'],-127352.88,132842.2,-268300.96,20902.176
16,['-fipa-cp-clone'],"['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']",['-fsplit-paths'],-231512.92,80898.8,-268300.96,-26691.654666666665
17,"['-fgcse-after-reload', '-floop-interchange', '-ftree-partial-pre']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']",['-floop-interchange'],-114101.76,176601.44,-268300.96,6256.1466666666665
18,['-ftree-partial-pre'],"['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-fipa-cp-clone', '-ftree-partial-pre']",-125863.52,129645.16,-268300.96,-9590.789333333332
19,"['-ftree-partial-pre', '-fvect-cost-model=dynamic']","['-fpeel-loops', '-fipa-cp-clone', '-funswitch-loops']","['-floop-unroll-and-jam', '-floop-interchange', '-fsplit-paths']",-114644.08,125920.0,-268300.96,-14864.062666666667
