Generation,Best Candidate,Global Best Candidate,Worst Candidate,Best Time,Worst Time,Global Best Time,Average Time
0,"['-fipa-cp-clone', '-fgcse-after-reload', '-fpeel-loops', '-floop-interchange', '-fvect-cost-model=dynamic']","['-fipa-cp-clone', '-fgcse-after-reload', '-fpeel-loops', '-floop-interchange', '-fvect-cost-model=dynamic']","['-fsplit-paths', '-floop-unroll-and-jam', '-fversion-loops-for-strides', '-floop-interchange', '-ftree-partial-pre']",-140973.04,82441.88,-140973.04,-9982.670666666667
1,"['-ftree-loop-distribution', '-floop-interchange', '-fipa-cp-clone']","['-fipa-cp-clone', '-fgcse-after-reload', '-fpeel-loops', '-floop-interchange', '-fvect-cost-model=dynamic']","['-fsplit-paths', '-fpredictive-commoning', '-fsplit-loops', '-ftree-loop-distribution']",-134742.16,141091.8,-140973.04,9860.132000000001
2,['-fsplit-loops'],['-fsplit-loops'],"['-fsplit-paths', '-floop-interchange', '-fpeel-loops']",-150532.24,105172.96,-150532.24,15572.505333333334
3,"['-fsplit-loops', '-fipa-cp-clone', '-ftree-partial-pre']",['-fsplit-loops'],"['-floop-interchange', '-fvect-cost-model=dynamic', '-ftree-loop-distribution', '-funswitch-loops']",-148957.64,98680.16,-150532.24,-9335.941333333332
4,"['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']","['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']","['-floop-interchange', '-funswitch-loops', '-fsplit-paths']",-153708.2,106232.88,-153708.2,-7002.886666666667
5,['-fversion-loops-for-strides'],"['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']",['-fsplit-loops'],-98752.44,103882.36,-153708.2,1615.7906666666668
6,"['-funswitch-loops', '-fpredictive-commoning', '-floop-unroll-and-jam']","['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']","['-fpeel-loops', '-fsplit-loops', '-funswitch-loops']",-129131.44,125276.16,-153708.2,15226.213333333331
7,"['-funswitch-loops', '-fipa-cp-clone', '-fsplit-loops']","['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']","['-fversion-loops-for-strides', '-floop-interchange', '-ftree-partial-pre']",-118416.64,121242.4,-153708.2,-9714.433333333332
8,['-ftree-partial-pre'],"['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']","['-fpredictive-commoning', '-fsplit-paths', '-fpeel-loops']",-124274.84,81298.16,-153708.2,-2068.3666666666663
9,"['-fsplit-paths', '-floop-interchange']","['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']",['-fgcse-after-reload'],-118787.72,125688.24,-153708.2,-118.36266666666685
10,"['-fgcse-after-reload', '-floop-interchange', '-fsplit-loops']","['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']",['-funswitch-loops'],-151644.48,130703.0,-153708.2,1711.4719999999993
11,"['-fipa-cp-clone', '-floop-interchange']","['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']","['-fversion-loops-for-strides', '-floop-unroll-and-jam']",-98340.4,89130.48,-153708.2,-2067.434666666667
12,"['-fipa-cp-clone', '-fsplit-paths']","['-fpredictive-commoning', '-floop-unroll-and-jam', '-funswitch-loops']",['-ftree-loop-distribution'],-84229.48,149286.92,-153708.2,11224.068000000001
13,"['-fpeel-loops', '-fipa-cp-clone']","['-fpeel-loops', '-fipa-cp-clone']","['-fsplit-paths', '-fgcse-after-reload']",-166336.32,136236.56,-166336.32,21235.322666666667
14,"['-fpredictive-commoning', '-fvect-cost-model=dynamic']","['-fpeel-loops', '-fipa-cp-clone']",['-fpeel-loops'],-123001.28,97390.04,-166336.32,-7827.6106666666665
15,"['-fpeel-loops', '-fgcse-after-reload']","['-fpeel-loops', '-fipa-cp-clone']",['-fvect-cost-model=dynamic'],-116735.76,163788.6,-166336.32,-1641.0426666666667
16,"['-fsplit-paths', '-floop-interchange', '-fgcse-after-reload']","['-fpeel-loops', '-fipa-cp-clone']","['-fpredictive-commoning', '-ftree-loop-distribution', '-floop-interchange', '-fipa-cp-clone']",-105158.56,127246.36,-166336.32,-1053.2813333333331
17,"['-fsplit-paths', '-fvect-cost-model=dynamic']","['-fpeel-loops', '-fipa-cp-clone']",['-fipa-cp-clone'],-137716.24,137755.8,-166336.32,5169.8279999999995
18,['-funswitch-loops'],"['-fpeel-loops', '-fipa-cp-clone']",['-fvect-cost-model=dynamic'],-115141.68,100163.76,-166336.32,-8055.916
19,"['-floop-interchange', '-fsplit-loops']","['-fpeel-loops', '-fipa-cp-clone']","['-funswitch-loops', '-fgcse-after-reload', '-fsplit-paths', '-fipa-cp-clone']",-111070.6,114093.76,-166336.32,12429.690666666665
