Generation,Best Candidate,Global Best Candidate,Worst Candidate,Best Time,Worst Time,Global Best Time,Average Time
0,"['-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-loops', '-fvect-cost-model=dynamic', '-fpredictive-commoning']","['-fversion-loops-for-strides', '-fgcse-after-reload', '-fsplit-loops', '-fvect-cost-model=dynamic', '-fpredictive-commoning']","['-fsplit-paths', '-fipa-cp-clone', '-fpeel-loops', '-fvect-cost-model=dynamic', '-fsplit-loops']",-530040.32,882726.2,-530040.32,-9803.867999999997
1,"['-floop-interchange', '-fversion-loops-for-strides', '-fsplit-loops', '-floop-unroll-and-jam']","['-floop-interchange', '-fversion-loops-for-strides', '-fsplit-loops', '-floop-unroll-and-jam']","['-floop-unroll-and-jam', '-ftree-loop-distribution', '-fpeel-loops', '-fvect-cost-model=dynamic']",-580517.8,422640.88,-580517.8,-74488.46399999999
2,"['-funswitch-loops', '-floop-unroll-and-jam', '-fsplit-loops', '-fgcse-after-reload']","['-floop-interchange', '-fversion-loops-for-strides', '-fsplit-loops', '-floop-unroll-and-jam']","['-ftree-partial-pre', '-fvect-cost-model=dynamic', '-fgcse-after-reload', '-ftree-loop-distribution']",-537689.48,581707.08,-580517.8,-48217.872
3,"['-fvect-cost-model=dynamic', '-fversion-loops-for-strides', '-funswitch-loops', '-floop-unroll-and-jam']","['-fvect-cost-model=dynamic', '-fversion-loops-for-strides', '-funswitch-loops', '-floop-unroll-and-jam']","['-fversion-loops-for-strides', '-ftree-partial-pre', '-fsplit-paths']",-632801.68,503508.76,-632801.68,-57221.424
4,"['-fsplit-paths', '-fsplit-loops', '-fipa-cp-clone', '-ftree-partial-pre']","['-fvect-cost-model=dynamic', '-fversion-loops-for-strides', '-funswitch-loops', '-floop-unroll-and-jam']","['-fvect-cost-model=dynamic', '-funswitch-loops', '-floop-interchange']",-596271.36,399929.36,-632801.68,49703.81733333333
5,"['-fpeel-loops', '-fipa-cp-clone']","['-fvect-cost-model=dynamic', '-fversion-loops-for-strides', '-funswitch-loops', '-floop-unroll-and-jam']","['-fversion-loops-for-strides', '-fvect-cost-model=dynamic', '-floop-unroll-and-jam']",-562421.08,717042.44,-632801.68,3959.0919999999983
6,"['-fgcse-after-reload', '-fpredictive-commoning', '-floop-interchange']","['-fvect-cost-model=dynamic', '-fversion-loops-for-strides', '-funswitch-loops', '-floop-unroll-and-jam']","['-ftree-partial-pre', '-fsplit-paths', '-fpeel-loops']",-588056.28,422877.36,-632801.68,-85800.41333333333
7,['-fpredictive-commoning'],"['-fvect-cost-model=dynamic', '-fversion-loops-for-strides', '-funswitch-loops', '-floop-unroll-and-jam']",['-fipa-cp-clone'],-400260.56,522223.36,-632801.68,12025.271999999999
8,"['-ftree-partial-pre', '-ftree-loop-distribution']","['-ftree-partial-pre', '-ftree-loop-distribution']","['-fpeel-loops', '-fsplit-paths']",-979651.68,544850.24,-979651.68,-22525.996000000003
9,['-ftree-loop-distribution'],"['-ftree-partial-pre', '-ftree-loop-distribution']",['-fvect-cost-model=dynamic'],-463625.16,567797.16,-979651.68,-51435.57466666666
10,"['-fversion-loops-for-strides', '-fsplit-paths', '-fsplit-loops']","['-ftree-partial-pre', '-ftree-loop-distribution']","['-fpeel-loops', '-ftree-loop-distribution']",-428089.48,390947.36,-979651.68,15316.498666666668
11,"['-ftree-loop-distribution', '-floop-unroll-and-jam']","['-ftree-partial-pre', '-ftree-loop-distribution']","['-floop-interchange', '-fsplit-loops', '-fpredictive-commoning', '-fversion-loops-for-strides']",-499871.4,677772.64,-979651.68,1296.0840000000003
12,"['-floop-unroll-and-jam', '-fvect-cost-model=dynamic']","['-ftree-partial-pre', '-ftree-loop-distribution']","['-floop-interchange', '-fvect-cost-model=dynamic', '-ftree-partial-pre']",-718010.24,686044.52,-979651.68,38602.45333333334
13,"['-fvect-cost-model=dynamic', '-floop-unroll-and-jam']","['-ftree-partial-pre', '-ftree-loop-distribution']","['-fsplit-loops', '-funswitch-loops']",-629633.32,602503.44,-979651.68,55981.34533333333
14,"['-fsplit-paths', '-fvect-cost-model=dynamic', '-fsplit-loops']","['-ftree-partial-pre', '-ftree-loop-distribution']",['-fgcse-after-reload'],-726724.44,432083.88,-979651.68,-90693.59866666667
15,['-fgcse-after-reload'],"['-ftree-partial-pre', '-ftree-loop-distribution']","['-ftree-loop-distribution', '-fsplit-loops', '-fversion-loops-for-strides']",-373865.8,812154.24,-979651.68,1024.852
16,['-fpredictive-commoning'],"['-ftree-partial-pre', '-ftree-loop-distribution']",['-fpeel-loops'],-495152.68,518618.24,-979651.68,-45961.884
17,['-fsplit-paths'],"['-ftree-partial-pre', '-ftree-loop-distribution']",['-fipa-cp-clone'],-439163.36,564752.2,-979651.68,36776.818666666666
18,"['-ftree-partial-pre', '-fversion-loops-for-strides']","['-ftree-partial-pre', '-ftree-loop-distribution']",['-ftree-loop-distribution'],-717179.24,575472.36,-979651.68,-71799.76266666666
19,"['-floop-unroll-and-jam', '-fipa-cp-clone', '-ftree-partial-pre']","['-ftree-partial-pre', '-ftree-loop-distribution']","['-fvect-cost-model=dynamic', '-ftree-loop-distribution']",-502381.12,648943.76,-979651.68,-7420.477333333331
